,Industrial de la bahia,De la virgen y turistica,Historica y del caribe norte
Industrial de la bahia,0.794615634348002,0.08847356666199488,0.11691079899000319
De la virgen y turistica,0.14642604180096855,0.6830470499426408,0.17052690825639072
Historica y del caribe norte,0.15184541508968408,0.13458183030012671,0.7135727546101892
