,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-4,5-19,20-39,40-59,>60,En_cuarentena,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos
81,642,2,0,2,0,43631,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 16325, 0, 397], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3333, 0, 272]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 10761, 0, 267]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 2, 16052]",44275,81,31.41253529079616,46.7394466403162,32.025251270468665,0,1119,0,47,14,0,0
82,642,1,0,1,0,43632,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 16326, 0, 398], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3333, 0, 272]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 1, 16053]",44275,82,31.538746470920383,47.065025409373234,31.95354037267081,0,1119,0,47,14,0,0
83,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 16054]",44275,83,31.445985319028797,46.85343873517787,31.993879164313945,0,1119,0,47,14,0,0
84,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 16054]",44275,84,31.522936194240543,46.743376623376626,31.98455110107284,0,1119,0,47,14,0,0
85,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 16054]",44275,85,31.522281197063805,46.618610954263126,31.88128740824393,0,1119,0,47,14,0,0
86,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 16054]",44275,86,31.50848108413326,46.68223602484472,31.99525691699605,0,1119,0,47,14,0,0
87,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 16054]",44275,87,31.43681535855449,46.628435911914174,31.932490118577075,0,1119,0,47,14,0,0
88,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 16054]",44275,88,31.50333145115754,46.821321287408246,31.993156408808584,0,1119,0,47,14,0,0
89,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 15674]",44275,89,31.45106719367589,46.79320158102767,32.03869000564653,0,1119,0,47,14,0,0
90,642,0,0,0,0,43633,0.0,"{2: [480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11805, 0, 314], 0: [147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16327, 0, 399], 1: [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15501, 0, 406]}","[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3334, 0, 273]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10762, 0, 268]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14436, 0, 78]","[148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 203]","[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5317, 0, 297]","[224, 0, 0, 0, 15674]",44275,90,31.885352907961604,47.5566120835686,32.4701976284585,0,1119,0,47,14,0,0
