,Industrial de la bahia,De la virgen y turistica,Historica y del caribe norte
Industrial de la bahia,0.7894260624486011,0.09060352308492907,0.11997041446646972
De la virgen y turistica,0.1482352684006103,0.6768537331727758,0.1749109984266139
Historica y del caribe norte,0.15586346083411087,0.13364513172302006,0.7104914074428691
