localidad,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,>100
De la virgen y turistica,0.08459985388377642,0.0879900381845599,0.08894375245176545,0.09333083808091096,0.0932984477850436,0.08864504194543314,0.07774390792518561,0.07373470908115928,0.05964133145709546,0.0557472981094864,0.05302291433486527,0.04359373931570101,0.03325043816872465,0.024584234563324828,0.01635350049125282,0.010940722159640972,0.007233832743709984,0.0041783481668892,0.0019074285344110905,0.0008025595531578739,0.00045706306390605375
Historica y del caribe norte,0.06676983009523124,0.07102532152351991,0.06997269467973603,0.07545175235379058,0.08253674072541284,0.08461050557577339,0.07740855866595292,0.07315756564297957,0.06125928358396948,0.05739065501279796,0.06264029401577141,0.05937895016216751,0.04993679740531982,0.03684193953243575,0.026050265180993338,0.018470452224686348,0.013742628238289527,0.008011659866577299,0.003495260930000315,0.0012055726245046132,0.0006432719600901481
Industrial de la bahia,0.07933027504395448,0.08109519094099657,0.08031714595585016,0.08621479430646216,0.08903057615746822,0.08792918780187135,0.07883515550795223,0.07478325889699493,0.06209203160681446,0.058090657397490045,0.05832306044500132,0.04861939117137872,0.038077050030650254,0.027686276094820442,0.01950838335051095,0.012832690014752542,0.00819136538474493,0.004914145598825186,0.0023139259947860882,0.0009632937911336554,0.0008521445075413105
