,Industrial de la bahia,De la virgen y turistica,Historica y del caribe norte
Industrial de la bahia,0.7963527208481838,0.08696122017144786,0.11668605898036832
De la virgen y turistica,0.14457726434158985,0.6850492490897202,0.17037348656869003
Historica y del caribe norte,0.15139719173019303,0.1320221785467726,0.7165806297230345
