,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-4,5-19,20-39,40-59,>60,En_cuarentena,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos
10,10950,125,0,0,125,10,0.232,"{1: [3787, 0, 0, 58, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 0: [4068, 0, 0, 52, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 2: [3095, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[836, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2694, 0, 0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3558, 0, 0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[2442, 0, 0, 36, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1420, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9974, 119, 0, 0, 7]",11085,10,1.1726657645466847,1.7511953089760939,1.1637347767253046,14,0,0,0,0,0,0
11,10941,134,0,0,134,10,0.2835820895522388,"{1: [3782, 0, 0, 63, 6, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 0: [4064, 0, 0, 56, 5, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 2: [3095, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[836, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2694, 0, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3554, 0, 0, 47, 3, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[2440, 0, 0, 38, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1417, 0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9965, 128, 0, 0, 7]",11085,11,1.16617050067659,1.7851150202976995,1.1585024808299504,11,0,0,0,0,0,0
12,10932,143,0,0,143,10,0.32867132867132864,"{1: [3781, 0, 0, 64, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 0: [4057, 0, 0, 63, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 2: [3094, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[835, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2689, 0, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3553, 0, 0, 48, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[2438, 0, 0, 40, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1417, 0, 0, 17, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9957, 136, 0, 0, 7]",11085,12,1.1753721244925575,1.7931438881371222,1.1656292286874155,7,0,0,0,0,0,0
13,10918,157,0,0,157,10,0.3885350318471338,"{1: [3780, 0, 0, 65, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 0: [4045, 0, 0, 75, 11, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 2: [3093, 0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[835, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2686, 0, 0, 34, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3547, 0, 0, 54, 3, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[2434, 0, 0, 44, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1416, 0, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9945, 148, 0, 0, 7]",11085,13,1.1791610284167795,1.8164185836716282,1.1672530446549392,14,0,0,0,0,0,0
14,10907,168,0,0,168,10,0.42857142857142855,"{1: [3775, 0, 0, 70, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 0: [4042, 0, 0, 78, 8, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 2: [3090, 0, 0, 20, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[835, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2682, 0, 0, 38, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3543, 0, 0, 58, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[2433, 0, 0, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1414, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9935, 158, 0, 0, 7]",11085,14,1.1764546684709067,1.7677943166441137,1.156788452864231,13,0,0,0,0,0,0
15,10902,158,0,0,158,25,0.41139240506329117,"{1: [3774, 0, 0, 63, 3, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0], 0: [4038, 0, 0, 76, 2, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0], 2: [3090, 0, 0, 19, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]}","[835, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2681, 0, 0, 34, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[3541, 0, 0, 55, 3, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[2432, 0, 0, 43, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[1413, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[9931, 148, 0, 0, 21]",11085,15,1.1711321605773568,1.7934145241317094,1.176364456472711,6,0,0,0,0,0,0
16,10896,148,0,0,148,41,0.4797297297297297,"{1: [3772, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0], 0: [4034, 0, 0, 78, 6, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0], 2: [3090, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]}","[835, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2679, 0, 0, 34, 1, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[3539, 0, 0, 49, 3, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0]","[2430, 0, 0, 43, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[1413, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[9926, 137, 0, 0, 37]",11085,16,1.1586829048263418,1.745511953089761,1.1700496165990077,6,0,0,0,0,0,0
17,10889,148,0,0,148,48,0.1891891891891892,"{1: [3768, 0, 0, 57, 5, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0], 0: [4033, 0, 0, 75, 1, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0], 2: [3088, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]}","[835, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2676, 0, 0, 36, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]","[3536, 0, 0, 49, 3, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0]","[2429, 0, 0, 41, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[1413, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[9920, 138, 0, 0, 42]",11085,17,1.1596752368064953,1.7913396481732071,1.170320252593595,7,0,0,0,0,0,0
18,10885,133,0,0,133,67,0.11278195488721804,"{1: [3764, 0, 0, 51, 3, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0], 0: [4033, 0, 0, 67, 1, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0], 2: [3088, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]}","[835, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2673, 0, 0, 34, 3, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0]","[3536, 0, 0, 42, 1, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0]","[2429, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0]","[1412, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[9916, 124, 0, 0, 60]",11085,18,1.155976544880469,1.7893549842129004,1.1672530446549392,5,0,0,0,0,0,0
19,10879,122,0,0,122,84,0.14754098360655737,"{1: [3758, 0, 0, 49, 6, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0], 0: [4033, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0], 2: [3088, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0]}","[833, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[2672, 0, 0, 32, 3, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0]","[3533, 0, 0, 38, 2, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0]","[2429, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0]","[1412, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[9910, 114, 0, 0, 76]",11085,19,1.1546233649075328,1.8083897158322058,1.1693279206134415,6,0,0,0,0,0,0
20,10873,113,0,0,113,99,0.21238938053097345,"{1: [3757, 0, 0, 40, 3, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0], 0: [4030, 0, 0, 63, 1, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0], 2: [3086, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0]}","[832, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[2671, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0]","[3532, 0, 0, 35, 1, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0]","[2427, 0, 0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0]","[1411, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]","[9904, 105, 0, 0, 91]",11085,20,1.1565178168696437,1.7816869643662607,1.185295444294091,6,0,0,0,0,0,0
