localidad,H_00-04,H_05-09,H_10-14,H_15-19,H_20-24,H_25-29,H_30-34,H_35-39,H_40-44,H_45-49,H_50-54,H_55-59,H_60-64,H_65-69,H_70-74,H_75-79,H_80-84,H_85-89,H_90-94,H_95-99,H_>100,M_00-04,M_05-09,M_10-14,M_15-19,M_20-24,M_25-29,M_30-34,M_35-39,M_40-44,M_45-49,M_50-54,M_55-59,M_60-64,M_65-69,M_70-74,M_75-79,M_80-84,M_85-89,M_90-94,M_95-99,M_>100
De la virgen y turistica,0.04350736519338806,0.045166468126149405,0.04545438186719259,0.0466312292837066,0.0456091355030033,0.04308629134711241,0.037374802509168255,0.03472599609157097,0.02805359514289519,0.025674707857525885,0.023972417863608063,0.02006038990718381,0.014892338255458664,0.010749979306199862,0.007082678029662313,0.004419475925012866,0.0026919934787537655,0.0015007503751875938,0.0006370091520580434,0.0002771169757540641,0.00017274824462591007,0.04109248869038836,0.0428235700584105,0.04348937058457286,0.046699608797204355,0.0476893122820403,0.04555875059832074,0.04036910541601736,0.03900871298958832,0.03158773631420027,0.03007259025196051,0.029050496471257212,0.023533349408517208,0.018358099913265986,0.013834255257124966,0.009270822461590507,0.006521246234628106,0.004541839264956219,0.002677597791701606,0.001270419382353047,0.0005254425774038099,0.00028431481928014365
Historica y del caribe norte,0.03449827036315626,0.036230156409552815,0.03623465481486813,0.03764715408387727,0.03984687428306665,0.04121888790423795,0.037449224250003375,0.034709695412976097,0.028362445513065618,0.0256094214600924,0.02739528837027274,0.02562741508135366,0.02135842843711904,0.016171767108560015,0.010800671162073045,0.0073009118267574145,0.0047728080395499795,0.002559592624414645,0.0010931124916217201,0.00035987242522525763,0.00024741229234236464,0.03227155973207498,0.034795165113967096,0.033738039864867904,0.037804598269913316,0.04268986644234619,0.04339161767153544,0.039959334415949545,0.03844787023000346,0.032896838070903864,0.03178123355270557,0.03524500564549867,0.033751535080813855,0.028578368968200773,0.020670172423875737,0.015249594018920292,0.011169540397928935,0.008969820198739547,0.005452067242162653,0.002402148438378595,0.0008457001992793555,0.0003958596677477834
Industrial de la bahia,0.04064021987349191,0.04128690661439282,0.041307115575045975,0.04269479753989586,0.043338116120687914,0.04247923529292889,0.03825556251641978,0.03548356674682888,0.029016699337819724,0.026611833020094445,0.026190813006487075,0.021505702295064297,0.016800382622988365,0.012199475914287062,0.008245255946486672,0.005365479053412283,0.0032233292241780004,0.0018356472593281195,0.0007915176255818496,0.0003469204912124703,0.00036376129175676495,0.03869005517046258,0.03980828432660375,0.03901003038080418,0.043519996766566295,0.045692460036780305,0.045449952508942466,0.040579592991532444,0.03929969215016605,0.03307533226899474,0.0314788243773956,0.032132247438514235,0.027113688876314424,0.02127666740766189,0.015486800180533382,0.011263127404024277,0.007467210961340258,0.004968036160566929,0.003078498339497066,0.0015224083692042384,0.000616373299921185,0.0004883832157845455
